match_map_number,map_name,team,player_name,agent,Rating 2.0,Average Combat Score,Kills,Deaths,Assists,Kills - Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Headshot %,First Kills,First Deaths,match_id,year
1,Bind,Paper Rex,something,Yoru,1.63,258,21,12,12,4,91,167,15,4,0,542195,2025
1,Bind,Paper Rex,Jinggg,Raze,1.52,315,24,14,7,3,82,207,18,5,2,542195,2025
1,Bind,Paper Rex,f0rsakeN,Brimstone,1.17,217,18,13,13,-3,77,150,36,2,5,542195,2025
1,Bind,Paper Rex,d4v41,Viper,0.94,176,14,14,5,0,82,129,21,1,1,542195,2025
1,Bind,Paper Rex,PatMen,Fade,0.88,161,12,13,5,-2,68,110,34,0,2,542195,2025
1,Bind,Xi Lai Gaming,Rarga,Raze,0.98,183,14,16,3,2,64,130,24,3,1,542195,2025
1,Bind,Xi Lai Gaming,Viva,Brimstone,0.92,178,14,16,5,-3,55,112,41,0,3,542195,2025
1,Bind,Xi Lai Gaming,NoMan,Skye,0.84,221,17,20,1,2,64,139,35,3,1,542195,2025
1,Bind,Xi Lai Gaming,coconut,Gekko,0.57,169,13,19,3,0,59,100,38,3,3,542195,2025
1,Bind,Xi Lai Gaming,happywei,Viper,0.49,118,8,18,7,-3,50,85,25,1,4,542195,2025
2,Sunset,Paper Rex,f0rsakeN,Omen,1.59,319,23,12,4,2,78,183,39,4,2,542195,2025
2,Sunset,Paper Rex,something,Sova,1.57,308,19,11,9,1,83,212,26,2,1,542195,2025
2,Sunset,Paper Rex,Jinggg,Raze,1.08,257,15,13,5,-2,72,153,14,1,3,542195,2025
2,Sunset,Paper Rex,d4v41,Sage,0.87,139,11,11,7,-1,61,81,22,1,2,542195,2025
2,Sunset,Paper Rex,PatMen,Viper,0.39,95,6,13,2,2,61,64,38,2,0,542195,2025
2,Sunset,Xi Lai Gaming,NoMan,Neon,1.31,285,18,14,4,0,78,184,33,3,3,542195,2025
2,Sunset,Xi Lai Gaming,happywei,Cypher,0.97,212,13,14,6,-2,61,168,45,2,4,542195,2025
2,Sunset,Xi Lai Gaming,Rarga,Yoru,0.94,202,13,16,6,0,72,118,31,2,2,542195,2025
2,Sunset,Xi Lai Gaming,coconut,Omen,0.7,161,10,16,9,0,72,103,35,1,1,542195,2025
2,Sunset,Xi Lai Gaming,Viva,Sova,0.5,106,6,14,6,0,61,77,28,0,0,542195,2025
1,Corrode,GIANTX,ara,Yoru,0.85,166,10,12,1,-2,58,100,36,1,3,542196,2025
1,Corrode,GIANTX,Cloud,Fade,0.78,149,9,14,4,-1,58,99,19,2,3,542196,2025
1,Corrode,GIANTX,westside,Vyse,0.74,162,10,16,0,2,37,99,50,2,0,542196,2025
1,Corrode,GIANTX,Flickless,Viper,0.61,106,7,13,4,-2,63,67,24,1,3,542196,2025
1,Corrode,GIANTX,grubinho,Omen,0.55,126,8,16,2,0,47,91,30,2,2,542196,2025
1,Corrode,Sentinels,N4RRATE,Fade,1.58,238,15,8,15,0,79,143,32,1,1,542196,2025
1,Corrode,Sentinels,johnqt,Viper,1.32,188,13,7,6,1,84,106,33,2,1,542196,2025
1,Corrode,Sentinels,bang,Omen,1.27,177,14,8,8,1,84,97,30,3,2,542196,2025
1,Corrode,Sentinels,zekken,Neon,1.18,305,20,13,9,0,74,186,32,4,4,542196,2025
1,Corrode,Sentinels,Zellsis,Vyse,0.96,125,9,8,5,1,84,76,16,1,0,542196,2025
2,Sunset,GIANTX,Cloud,Sova,2.05,362,23,9,5,4,94,224,33,4,0,542196,2025
2,Sunset,GIANTX,westside,Cypher,1.42,235,15,8,4,0,76,163,53,1,1,542196,2025
2,Sunset,GIANTX,Flickless,Breach,1.31,207,13,8,11,-1,94,137,31,0,1,542196,2025
2,Sunset,GIANTX,ara,Neon,0.85,161,11,11,3,-2,71,101,30,2,4,542196,2025
2,Sunset,GIANTX,grubinho,Omen,0.84,198,11,12,11,4,88,124,19,4,0,542196,2025
2,Sunset,Sentinels,johnqt,Cypher,1.37,245,16,14,6,1,76,139,30,1,0,542196,2025
2,Sunset,Sentinels,N4RRATE,Fade,1.08,212,12,13,7,0,82,131,21,2,2,542196,2025
2,Sunset,Sentinels,Zellsis,Breach,0.53,125,7,15,6,-1,59,88,17,1,2,542196,2025
2,Sunset,Sentinels,zekken,Neon,0.42,146,8,16,2,-4,53,112,18,1,5,542196,2025
2,Sunset,Sentinels,bang,Omen,0.26,82,5,15,4,-1,41,54,31,1,2,542196,2025
3,Haven,GIANTX,Cloud,Sova,1.28,250,19,13,6,-2,64,158,23,0,2,542196,2025
3,Haven,GIANTX,ara,Neon,1.13,286,22,17,4,8,91,184,32,10,2,542196,2025
